broken_url,campaign_name,ad_id,ad_status,historical_spend,historical_clicks,suggested_replacement
https://www.naturesseed.com/california-brome-grass,US | Search | Product Ads,673049921753; 675295078760,ENABLED; REMOVED,0.82,1,https://naturesseed.com/products/grass-seed/california-brome-grass/
https://www.naturesseed.com/dahurian-wildrye,US | Search | Product Ads,672953659677,ENABLED,0.79,1,MANUAL REVIEW NEEDED
https://www.naturesseed.com/utah-sweetvetch,US | Search | Product Ads,673049893355,ENABLED,0.77,2,MANUAL REVIEW NEEDED
https://www.naturesseed.com/lacy-phacelia,US | Search | Product Ads,672991730305; 675295078778,ENABLED; REMOVED,0.76,1,https://naturesseed.com/products/wildflower-seed/lacy-phacelia/
https://www.naturesseed.com/pacific-northwest-erosion-control-mix,US | Search | Product Ads,673049853062,ENABLED,0.73,1,https://naturesseed.com/products/grass-seed/pacific-northwest-erosion-control-mix/
https://www.naturesseed.com/creeping-wildrye,US | Search | Product Ads,675242947597; 673049945198,ENABLED; REMOVED,0.71,1,MANUAL REVIEW NEEDED
https://www.naturesseed.com/san-diego-bentgrass,US | Search | Product Ads,672953708631; 687328800393,ENABLED; REMOVED,0.71,1,https://naturesseed.com/products/grass-seed/san-diego-bentgrass/
https://www.naturesseed.com/showy-goldeneye,US | Search | Product Ads,672953699484,ENABLED,0.67,1,MANUAL REVIEW NEEDED
https://www.naturesseed.com/four-wing-saltbush,US | Search | Product Ads,672972704865; 687328798470,ENABLED; REMOVED,0.59,3,MANUAL REVIEW NEEDED
https://www.naturesseed.com/sweet-pea,US | Search | Product Ads,673049940845,ENABLED,0.52,3,MANUAL REVIEW NEEDED
https://www.naturesseed.com/wild-bergamot,US | Search | Product Ads,672953723187,ENABLED,0.49,1,MANUAL REVIEW NEEDED
https://www.naturesseed.com/desert-globemallow,US | Search | Product Ads,673049946227,ENABLED,0.44,1,https://naturesseed.com/products/wildflower-seed/desert-globemallow/
https://www.naturesseed.com/coastal-sage-scrub-mix,US | Search | Product Ads,672991825138,ENABLED,0.36,1,https://naturesseed.com/products/wildflower-seed/coastal-sage-scrub-mix/
https://www.naturesseed.com/five-spot,US | Search | Product Ads,673049891672,ENABLED,0.28,1,MANUAL REVIEW NEEDED
https://www.naturesseed.com/sand-dropseed,US | Search | Product Ads,673049909756,ENABLED,0.19,1,https://naturesseed.com/products/grass-seed/sand-dropseed/
https://www.naturesseed.com/new-england-aster,US | Search | Product Ads,675199193255,ENABLED,0.11,1,MANUAL REVIEW NEEDED
https://www.naturesseed.com/fernleaf-biscuitroot,US | Search | Product Ads,672991812238,ENABLED,0.10,1,MANUAL REVIEW NEEDED
https://www.naturesseed.com/desert-senna,US | Search | Product Ads,672991834240,ENABLED,0.02,1,MANUAL REVIEW NEEDED
https://www.naturesseed.com/african-daisy,US | Search | Product Ads,672953760651,ENABLED,0.00,0,https://naturesseed.com/products/wildflower-seed/african-daisy/
https://www.naturesseed.com/alkali-barley,US | Search | Product Ads,675429873818,ENABLED,0.00,0,https://naturesseed.com/products/grass-seed/alkali-barley/
