Product Item ID,Product Title,Product Type L1,Product Type L2,Total Spend ($),Total Clicks,Total Conversions,Total Conv Value ($),ROAS
gla_185477,Great Lakes/New England Poultry Forage Mix,pasture seed,pasture seed by region,63.28,69,1.63,47.67,0.75
gla_452903,White Sage Seed (Salvia apiana) Native Drought-Proof Aromatic Shrub 1 Lb for 2000 Sq Ft | Nature's Seed,wildflower seeds,single species wildflower,62.29,59,1.0,45.48,0.73
gla_185125,Intermountain West Upland Game Food Plot Mix,specialty seed,specialty seed by region,62.28,39,1.0,47.19,0.76
gla_445244,"Nature's Seed Premium Turf Native Fine Fescue Seed Mix 5lbs bag for 1,000 Sq. ft",uncategorized,,59.12,48,1.0,53.44,0.9
gla_185729,"Handheld Broadcast Seeder Spreader - Seed, Fertilizer & Ice Melt Dispenser | Nature's Seed",planting aids,all planting aids,58.43,42,0.53,16.61,0.28
pg-trob-1-lb,Creek Clover - Specialty Seed | Nature's Seed,specialty seed,creek clover,57.29,86,2.24,0.01,0.0
gla_445122,Organic Seed Starter Fertilizer 4-6-4 — Natural Root Growth Boost for New Lawns & Gardens | Nature's Seed,planting aids,,56.97,32,1.0,1.0,0.02
pb-glec,Great Lakes/New England Erosion Control Mix Specialty Seed | Nature's Seed,specialty seed,great lakes/new england erosion control mix,56.96,70,1.0,30.12,0.53
pg-rasa-1-lb,Forage Radish - Pasture Seed | Nature's Seed,pasture seed,forage radish,56.38,114,0.06,1.35,0.02
gs2_000011,"Nature's Seed Any Region specialty 20 Lb for 20,000 Sq Ft Prairie Native Drought-Tolerant & Erosion Control Mix Drought-Tolerant & Erosion",specialty seeds,regional specialty seed mix,54.78,25,0.5,0.5,0.01
pb-fth-1-a,Florida Tropics Horse Forage Blend - Pasture Seed | Nature's Seed,pasture seed,florida tropics horse forage blend,54.74,51,0.01,0.3,0.01
w-neme,Baby Blue Eyes Wildflower Seed | Nature's Seed,wildflower seed,baby blue eyes,54.31,300,2.0,25.89,0.48
w-peea-5-p,Firecracker Penstemon - Wildflower Seed | Nature's Seed,wildflower seed,firecracker penstemon,54.13,219,3.01,13.09,0.24
gla_355832,Mung Beans,pasture seed,individual pasture species,54.08,128,1.0,37.52,0.69
gla_185189,Pacific Southwest Big Game Food Plot Mix,specialty seed,specialty seed by region,53.62,33,0.33,49.28,0.92
gla_186411,San Diego Bentgrass,lawn seed,,53.47,97,0.25,14.75,0.28
gs1_000005,Nature's Seed planting aid 5 LB Sheep Fescue Filler-Free Curated Varieties by Seed Experts,specialty seeds,lawn alternative/enhancer,53.03,88,3.07,3.07,0.06
gla_185674,Tufted Hairgrass,sale,individual pasture species,53.03,67,1.0,28.38,0.54
pb-dss-0.5-lb,Desert Sage Scrub Mix - Specialty Seed | Nature's Seed,specialty seed,desert sage scrub mix,52.9,100,1.02,34.93,0.66
pb-gppb-2000-f,Great Plains Poultry Forage Blend - Pasture Seed | Nature's Seed,pasture seed,great plains poultry forage blend,52.46,95,1.53,47.61,0.91
