old_product_id,old_title,old_total_spend,old_total_revenue,old_roas,new_product_id,new_title,match_method,match_confidence
pb-swtpb-500-f,Southwest Transitional Poultry Forage Blend - Pasture Seed | Nature's Seed,2.91,6.97,2.40,gla_445261,"Chicken & Poultry Forage Seed Mix - Clover & Alfalfa Blend - 50 lb, Covers 100,000 sq ft | Nature's Seed",replacement_map,medium
pb-ssapb-1500-f,Southwest Semi-Arid Steppe Poultry Forage Blend - Pasture Seed | Nature's Seed,0.51,6.97,13.67,UNMATCHED,,none,none
wb-ba-2000-f,Bay Area Wildflower Mix - Wildflower Seed | Nature's Seed,21.93,6.89,0.31,UNMATCHED,,none,none
gla_184446,Tall Wheatgrass,28.42,6.89,0.24,gla_446820,"Tall Fescue Pasture Seed - Deep-Rooted Forage Grass - 25 lb, Covers 25,000 sq ft | Nature's Seed",replacement_map_title,medium
gla_184446,Tall Wheatgrass,28.42,6.89,0.24,gla_445458,"Tall Fescue Pasture Seed - Deep-Rooted Forage Grass - 5 lb, Covers 5,000 sq ft | Nature's Seed",replacement_map_title,medium
gla_184446,Tall Wheatgrass,28.42,6.89,0.24,gla_446821,"Tall Fescue Pasture Seed - Deep-Rooted Forage Grass - 50 lb, Covers 50,000 sq ft | Nature's Seed",replacement_map_title,medium
pb-pswwfr-0.5-a,Pacific Southwest Wildfire Resistant Blend - Specialty Seed | Nature's Seed,5.09,6.74,1.32,UNMATCHED,,none,none
w-sppa,Nelson Globemallow,7.97,6.50,0.82,UNMATCHED,,none,none
pb-swdp,Southwest Desert Pollinator Mix Specialty Seed | Nature's Seed,24.18,6.48,0.27,gla_445557,"Chicken & Poultry Forage Seed Mix - Clover & Alfalfa Blend - 25 lb, Covers 50,000 sq ft | Nature's Seed",replacement_map_title,medium
pb-swdp,Southwest Desert Pollinator Mix Specialty Seed | Nature's Seed,24.18,6.48,0.27,gla_445869,"Chicken & Poultry Forage Seed Mix - Clover & Alfalfa Blend - 5 lb, Covers 10,000 sq ft | Nature's Seed",replacement_map_title,medium
pb-swdp,Southwest Desert Pollinator Mix Specialty Seed | Nature's Seed,24.18,6.48,0.27,gla_445261,"Chicken & Poultry Forage Seed Mix - Clover & Alfalfa Blend - 50 lb, Covers 100,000 sq ft | Nature's Seed",replacement_map_title,medium
gla_184072,Arroyo Lupine,15.42,6.32,0.41,gla_452813,"Arroyo Lupine Wildflower Seed - Native Purple-Blue Annual - 0.25 lb, Covers 500 sq ft | Nature's Seed",replacement_map_title,medium
gla_184072,Arroyo Lupine,15.42,6.32,0.41,gla_452814,"Arroyo Lupine Wildflower Seed - Native Purple-Blue Annual - 0.5 lb, Covers 1000 sq ft | Nature's Seed",replacement_map_title,medium
gla_184072,Arroyo Lupine,15.42,6.32,0.41,gla_452815,"Arroyo Lupine Wildflower Seed - Native Purple-Blue Annual - 1 lb, Covers 2000 sq ft | Nature's Seed",replacement_map_title,medium
gla_186110,Sky Lupine,3.45,6.32,1.83,UNMATCHED,,none,none
w-sibe-n-1-lb,Blue-Eyed Grass - Wildflower Seed | Nature's Seed,12.24,6.11,0.50,gla_452636,"Blue-Eyed Grass Seed - Native Perennial Meadow Wildflower - 0.25 lb, Covers 500 sq ft | Nature's Seed",title_similarity_0.60,low
w-sibe-n-1-lb,Blue-Eyed Grass - Wildflower Seed | Nature's Seed,12.24,6.11,0.50,gla_452637,"Blue-Eyed Grass Seed - Native Perennial Meadow Wildflower - 0.5 lb, Covers 1000 sq ft | Nature's Seed",title_similarity_0.60,low
w-sibe-n-1-lb,Blue-Eyed Grass - Wildflower Seed | Nature's Seed,12.24,6.11,0.50,gla_452638,"Blue-Eyed Grass Seed - Native Perennial Meadow Wildflower - 1 lb, Covers 2000 sq ft | Nature's Seed",title_similarity_0.60,low
w-lude-n-0.5-lb,Golden Lupine - Wildflower Seed | Nature's Seed,3.67,6.06,1.65,gla_452773,"Yellow Lupine Wildflower Seed - Native Golden Annual - 0.25 lb, Covers 500 sq ft | Nature's Seed",title_similarity_0.61,low
w-lude-n-0.5-lb,Golden Lupine - Wildflower Seed | Nature's Seed,3.67,6.06,1.65,gla_452774,"Yellow Lupine Wildflower Seed - Native Golden Annual - 0.5 lb, Covers 1000 sq ft | Nature's Seed",title_similarity_0.61,low
w-lude-n-0.5-lb,Golden Lupine - Wildflower Seed | Nature's Seed,3.67,6.06,1.65,gla_452775,"Yellow Lupine Wildflower Seed - Native Golden Annual - 1 lb, Covers 2000 sq ft | Nature's Seed",title_similarity_0.61,low
w-natr,Nasturtium Wildflower Seed | Nature's Seed,13.26,5.85,0.44,gla_452618,"Miniature Lupine Wildflower Seed - Native Blue Annual - 0.25 lb, Covers 1,000 sq ft | Nature's Seed",title_similarity_0.57,low
w-natr,Nasturtium Wildflower Seed | Nature's Seed,13.26,5.85,0.44,gla_452618,"Miniature Lupine Wildflower Seed - Native Blue Annual - 0.5 lb, Covers 500 sq ft | Nature's Seed",title_similarity_0.57,low
w-natr,Nasturtium Wildflower Seed | Nature's Seed,13.26,5.85,0.44,gla_452617,"Miniature Lupine Wildflower Seed - Native Blue Annual - 1 lb, Covers 2000 sq ft | Nature's Seed",title_similarity_0.57,low
pg-kocr,Junegrass Pasture Seed | Nature's Seed,45.16,5.82,0.13,UNMATCHED,,none,none
w-isar,Bladderpod Wildflower Seed | Nature's Seed,0.54,5.77,10.69,UNMATCHED,,none,none
pb-gpal-1-a,Great Plains Alpaca/Llama Forage Blend - Pasture Seed | Nature's Seed,9.60,5.28,0.55,gla_445910,"Alpaca & Llama Pasture Seed Mix - Low-Sugar Forage Blend - 10 lb, Covers 20,000 sq ft | Nature's Seed",replacement_map,medium
