sku,product_name,order_count
,Eastern Red Columbine - 1 Pack,8
W-LIMA,Baby Snapdragon - 1 Pack,8
,Bladderpod - 1 Pack,8
W-CACI2-N,Red Maids - 1 Pack,8
W-DIBA-0.25-LB,Sweet William - 0.25lbs,8
W-COBI-0.25-LB,Garden Cosmos - 0.25lbs,8
W-NATR-0.5-LB,Nasturtium Seeds - 0.5lbs,8
PG-BRCA4-1-LB,African Cabbage - 1 lb,7
PG-LIUS-25-LB,Common Flax - 25 lbs,7
PG-BUCK-50-LB-OLD,Common Buckwheat - 50 lbs,7
PG-BOCU-10-LB,Sideoats Grama - 10 lbs,7
,Red Mexican Hat - 1 Pack,7
W-NATR,Nasturtium Seeds - 1 Pack,7
WB-BFP-2000-F,Butterfly Pollinator Mix - 2000 ft²,7
W-HILA6,Woolly Rose Mallow - 1 Pack,7
W-ENFA-OLD,Brittlebush - 1 Pack,6
W-VIMU,Showy Goldeneye - 1 Pack,6
PB-WLWP,Western Low-Water Use Pollinator Mix - 5 lbs,6
PG-ONVI-25-LB,Sainfoin - 25 lbs,6
W-LAOD-1-LB,Sweet Pea - 1lbs,6
PB-MWP-1000-F,Mid-West/Mid-Atlantic Pollinator Mix - 1000 ft²,6
W-LIMA-1-LB,Baby Snapdragon - 1lbs,6
W-SPMU,Munro Globemallow - 1 Pack,6
W-CHMA-0.25-LB,Shasta Daisy - 0.25lbs,6
PG-ECES-1-LB,Japanese Millet - 1 lb,6
PG-LASA,Chickling Vetch - 1 lb,6
WB-BFP-1000-F,Butterfly Pollinator Mix - 1000 ft²,6
W-PEPA,Palmer's Penstemon - 1 Pack,6
W-AQCO,Colorado Columbine - 1 Pack,6
,Clustered Tarweed - 1 Pack,6
W-LODI,Fernleaf Biscuitroot - 1 Pack,6
,New England Aster - 1 Pack,6
,Standing Cypress - 1 Pack,6
PG-LEST-10-LB,Common Lespedeza - 10 lbs,6
W-CLWI-N,Fort Miller Clarkia - 1 Pack,6
PG-LATR-1-LB,Creosote Bush - 1 lb,6
W-GITR-1-LB,Bird’s Eye Gilia - 1lbs,6
W-COHE-0.25-LB,Chinese Houses - 0.25lbs,6
PB-GLP-5000-F,Great Lakes/New England Pollinator Mix - 5000 ft²,6
PG-ABES-1-LB,Okra - 1 lb,5
PG-BRMA-10-LB,Mountain Brome - 10 lbs,5
PG-VIRA4-1-LB,Mung Beans - 1 lb,5
PG-BRBI-50-LB,Meadow Brome - 50 lbs,5
PG-SAME3-1-LB,Black Sage - 1 lb,5
PG-AVSA-50-LB,Oats - 50 lbs,5
W-ZIAU-0.25-LB,Golden Alexander - 0.25lbs,5
PB-GPP,Great Plains Pollinator Mix - 1000 ft²,5
PG-PAMI-10-LB,White Proso Millet - 10 lbs,5
PG-BRIN-10-LB,Smooth Brome - 10 lbs,5
,Native Shortgrass Mix - 10 lbs,5
PG-LASA-10-LB,Chickling Vetch - 10 lbs,5
W-HEBO,Utah Sweetvetch - 1 Pack,5
W-DIPU,Purple Foxglove - 1 Pack,5
,Forget-Me-Not - 1 Pack,5
PG-BRRA,Purple Top Turnips - 1 lb,5
,Purple Alyssum - 1 Pack,5
W-LOMA-0.25-LB,Sweet Alyssum - 0.25lbs,5
W-TRMA2-1-LB,Nasturtium Seeds - 1lbs,5
W-COBI-1-LB,Garden Cosmos - 1lbs,5
W-COHE-1-LB,Chinese Houses - 1lbs,5
W-SPCO2-0.25-LB,Coulter's Globemallow - 0.25lbs,4
W-ASOB,Aromatic Aster - 0.25lbs,4
W-LUPE-1-LB,Wild Lupine - 1lbs,4
PB-GPP-5000-F,Great Plains Pollinator Mix - 5000 ft²,4
PG-ASCA-1-LB,Canada Milkvetch - 1 lb,4
W-DIBA-1-LB,Sweet William - 1lbs,4
PG-ONVI-50-LB,Sainfoin - 50 lbs,4
W-NEMA-0.5-LB,Five Spot - 0.5lbs,4
W-PEEA-0.25-LB,Firecracker Penstemon - 0.25lbs,4
PB-GPP,Great Plains Pollinator Mix - 500 ft²,4
W-LAOD-0.25-LB,Sweet Pea - 0.25lbs,4
W-DISI-1-LB,African Daisy - 1lbs,4
PG-BRRA,Purple Top Turnips - 10 lbs,4
,Blue Mountain Penstemon - 1 Pack,4
PB-WLWP,Western Low-Water Use Pollinator Mix - 0.5 lbs,4
W-COTI,Plains Coreopsis - 1 Pack,4
W-RUHI-1-LB,Black-Eyed Susan - 1lbs,4
,Pinkladies - 1 Pack,4
W-CHMA-0.5-LB,Shasta Daisy - 0.5lbs,4
W-PEPA-0.25-LB,Palmer's Penstemon - 0.25lbs,4
W-LIRU-0.25-LB,Scarlet Flax - 0.25lbs,4
,Native Tallgrass Mix - 1 lb,4
W-PARH,Shirley Poppy - 1 Pack,4
PG-BUCK-OLD,Common Buckwheat - 5 lbs,4
W-ERSP-0.25-LB,Aspen Daisy - 0.25lbs,4
W-COSU-1-LB,Sulphur Cosmos - 1lbs,3
PG-SAMI,Small Burnet - 25 lbs,3
