sku,name,status,revenue_q1q2,customer_count,units_sold
WB-LG-500-F,Low Growing Wildflower Mix - 500 ft²,PHASED_OUT,1415.72,79,87
PG-FEAR2-25-LB-OLD,Tall Fescue - 25 lbs,PHASED_OUT,1397.45,14,31
PG-PHPR-OLD,Timothy Grass Seed - 25 lbs,PHASED_OUT,1388.15,20,27
PG-ANGE-1-LB,Big Bluestem Grass Seed - 1 lb,PHASED_OUT,1364.07,34,70
PB-GPHB-1-A,Great Plains Honey Bee Pasture Mix - 1 Acre,PHASED_OUT,1361.49,8,8
PB-SWDHB-0.5-A,Southwest Desert Honey Bee Pasture Mix - 1/2 Acre,PHASED_OUT,1355.4,12,17
TURF-FF-1500-F,Fine Fescue Grass Seed Mix - 1500 ft²,PHASED_OUT,1353.67,14,16
WB-XCVP-1-LB-OLD,Xerces Central Valley Pollinator Mix - 1 lbs,PHASED_OUT,1342.42,9,10
PG-BOCU-10-LB,Sideoats Grama - 10 lbs,PHASED_OUT,1326.13,7,8
PB-SHEP-TR-OLD,Transitional Sheep Pasture Mix,PHASED_OUT,1322.85,7,15
PG-ANGE,Big Bluestem Grass Seed - 25 lbs,PHASED_OUT,1322.2,5,16
PB-GPHB-2.5-A,Great Plains Honey Bee Pasture Mix - 2.5 Acres,PHASED_OUT,1319.98,3,4
TURF-WNS-1000-F,TWCA Water-Wise Northern Sports Mix - 1000 ft²,PHASED_OUT,1308.78,6,11
TURF-POPR-5000-F,Velvet Blue Seed Blend - 5000 ft²,PHASED_OUT,1292.48,8,8
PB-PNWHB-50-LB,Pacific Northwest Honey Bee Pasture Mix - 2.5 Acres,PHASED_OUT,1290.19,4,4
PB-GPH,Great Plains Horse Forage Mix - 1 Acre,PHASED_OUT,1287.57,7,7
PB-GPHB-0.5-A,Great Plains Honey Bee Pasture Mix - 1/2 Acre,PHASED_OUT,1284.56,12,13
PB-GLBC,Great Lakes/New England Beef Cattle Forage Mix - 1 Acre,PHASED_OUT,1257.2,6,6
WB-NE-0.5-LB,Northeast Wildflower Mix - 1000 ft²,PHASED_OUT,1254.74,20,26
PB-PIG-OLD,Pasture Pig Mix,PHASED_OUT,1246.36,7,14
PB-IWBC-10-LB,Intermountain West Beef Cattle Forage Mix - 1/2 Acre,PHASED_OUT,1239.04,10,11
PG-SCSC-50-LB,Little Bluestem - 50 lbs,PHASED_OUT,1237.5,2,2
PB-MWH,Mid-West/Mid-Atlantic Horse Forage Mix - 1/2 Acre,PHASED_OUT,1229.18,7,10
PB-SWDPB-10-LB,Southwest Desert Poultry Forage Mix - 1/2 Acre,PHASED_OUT,1217.26,11,16
PG-LOPE-10-LB-OLD,Perennial Ryegrass - 10 lbs,PHASED_OUT,1211.33,13,22
PG-ONVI-50-LB,Sainfoin - 50 lbs,PHASED_OUT,1209.69,4,6
TURF-LM-500-F,Low Maintenance Seed Mix - 500 ft²,PHASED_OUT,1206.26,18,28
