old_sku,old_name,old_categories,old_revenue_q1q2,old_customer_count,old_units_sold
PB-GPP-5000-F,Great Plains Pollinator Mix - 5000 ft²,,929.75,4,5
PG-BUCK-50-LB-OLD,Common Buckwheat - 50 lbs,,863.74,7,8
W-ASSP-0.25-LB,Showy Milkweed - 0.25lbs,,849.68,8,8
W-PEPA2-1-LB,Parry Penstemon - 1lbs,,828.3,1,10
PG-ONVI-10-LB,Sainfoin - 10 lbs,,803.36,16,21
W-LUAL-0.25-LB,Mountain Lupine - 0.25lbs,,754.26,16,20
PB-MWP-1000-F,Mid-West/Mid-Atlantic Pollinator Mix - 1000 ft²,,708.54,6,12
PG-ONVI-25-LB,Sainfoin - 25 lbs,,708.3,6,6
PG-AVSA-50-LB,Oats - 50 lbs,,704.0,5,7
WB-BFP-500-F,Butterfly Pollinator Mix - 500 ft²,,701.62,38,38
PG-LIUS-25-LB,Common Flax - 25 lbs,,698.6,7,8
WB-IF-500-F,Insecta-Flora Mix - 500 ft²,,692.62,37,42
PG-SAME3-1-LB,Black Sage - 1 lb,,685.25,5,5
PG-LOCO-50-LB,Birdsfoot Trefoil - 50 lbs,,625.0,1,1
PB-GPP,Great Plains Pollinator Mix - 500 ft²,,618.65,11,11
PG-SOBI-10-LB,Grain Sorghum - 10 lbs,,606.5,13,16
W-LUDE-N-0.25-LB,Golden Lupine - 0.25lbs,,579.55,13,17
PG-AVSA-10-LB,Oats - 10 lbs,,561.13,18,27
W-ASTU-0.25-LB,Butterfly Milkweed - 0.25lbs,,558.61,3,3
PB-IWWFR,Intermountain West Wildfire Resistant Mix - 1 Acre,,554.14,1,1
PG-LATR-1-LB,Creosote Bush - 1 lb,,552.49,6,10
W-LUAL-1-LB,Mountain Lupine - 1lbs,,531.92,3,4
W-LUAR-0.25-LB,Arizona Lupine - 0.25lbs,,523.71,10,14
PG-LEST-10-LB,Common Lespedeza - 10 lbs,,498.31,6,7
PG-BRMA-10-LB,Mountain Brome - 10 lbs,,482.35,5,6
PG-AVSA-1-LB,Oats - 1 lb,,481.68,67,125
PG-PEGL2-1-LB,Hybrid Pearl Millet - 1 lb,,481.37,35,114
PG-VIVI-50-LB,Hairy Vetch - 50 lbs,,478.69,2,2
W-PARH-1-LB,Shirley Poppy - 1lbs,,474.36,11,14
PG-VIVI-10-LB,Hairy Vetch - 10 lbs,,467.88,10,10
PG-LIUS,Common Flax - 1 lbs,,452.51,54,99
PB-MWP-500-F,Mid-West/Mid-Atlantic Pollinator Mix - 500 ft²,,448.96,12,12
PG-LIUS-10-LB,Common Flax - 10 lbs,,447.13,12,12
PG-BRBI-1-LB,Meadow Brome - 1 lb,,446.96,21,51
PG-SIHY-10-LB,Bottlebrush Squirreltail - 10 lbs,,444.06,2,2
W-MOFI-0.25-LB,Wild Bergamot - 0.25lbs,,442.22,14,14
PG-TRAR-10-LB,Wheat - 10 lbs,,432.76,15,20
W-LIMA-0.25-LB,Baby Snapdragon - 0.25lbs,,422.77,29,30
PG-VIVI-1-LB,Hairy Vetch - 1 lb,,413.96,40,78
W-COBI,Garden Cosmos - 1 Pack,,412.68,27,55
PB-GLP,Great Lakes/New England Pollinator Mix - 1000 ft²,,412.24,5,5
PG-BUCK-10-LB-OLD,Common Buckwheat - 10 lbs,,411.0,13,16
PG-SAMI-10-LB,Small Burnet - 10 lbs,,408.53,8,9
W-ASOB,Aromatic Aster - 0.25lbs,,408.5,4,4
WB-BFP-2000-F,Butterfly Pollinator Mix - 2000 ft²,,387.43,7,8
PG-PEGL2-50-LB,Hybrid Pearl Millet - 50 lbs,,368.0,2,2
W-MOCI-1-LB,Lemon Mint - 1lbs,,366.55,2,2
PG-HOVU-10-LB,Barley - 10 lbs,,360.94,15,15
PG-BRHI-50-LB,White Mustard - 50 lbs,,355.0,2,3
W-VEFA-0.25-LB,Ironweed - 0.25lbs,,353.43,2,3
PG-BUCK-1-LB-OLD,Common Buckwheat - 1 lb,,350.55,34,52
W-COTI-1-LB,Plains Coreopsis - 1lbs,,343.18,8,11
W-RUHI-0.5-LB,Black-Eyed Susan - 0.5lbs,,327.75,9,10
PG-SAMI,Small Burnet - 25 lbs,,324.99,3,6
W-ERSP-0.25-LB,Aspen Daisy - 0.25lbs,,319.8,4,4
W-GITR-1-LB,Bird’s Eye Gilia - 1lbs,,319.33,6,6
W-LUPE-0.25-LB,Wild Lupine - 0.25lbs,,312.0,18,18
PG-ATLE-1-LB,Quailbush - 1 lb,,310.97,12,14
PG-TRAR-50-LB,Wheat - 50 lbs,,307.0,2,4
W-LIMA-1-LB,Baby Snapdragon - 1lbs,,305.36,6,9
PG-SPCR-10-LB,Sand Dropseed - 10 lbs,,302.5,3,3
PG-CALO-10-LB,Prairie Sand Reed - 10 lbs,,302.06,2,2
W-ENFA-0.25-LB-OLD,Brittlebush - 0.25lbs,,300.49,14,22
W-RUHI-0.25-LB,Black-Eyed Susan - 0.25lbs,,294.0,17,19
W-PEEA-0.25-LB,Firecracker Penstemon - 0.25lbs,,289.7,4,4
W-ASTU-0.5-LB,Butterfly Milkweed - 0.5lbs,,283.86,1,1
PG-BUCK-OLD,Common Buckwheat - 5 lbs,,279.93,4,7
PG-HOVU-50-LB,Barley - 50 lbs,,276.25,2,3
PG-ONVI-1-LB,Sainfoin - 1 lb,,274.73,23,60
W-PARH-0.25-LB,Shirley Poppy - 0.25lbs,,269.64,20,22
W-DISI-0.25-LB,African Daisy - 0.25lbs,,268.46,10,11
PG-BRRA,Purple Top Turnips - 1 lb,,260.66,9,12
W-CECY-1-LB,Bachelor Button - 1lbs,,259.89,13,18
PG-SPCR-1-LB,Sand Dropseed - 1 lb,,258.83,11,20
W-GITR-0.25-LB,Bird’s Eye Gilia - 0.25lbs,,251.87,12,12
W-GRST3-N-1-LB,Coastal Gumweed - 1lbs,,250.0,1,1
W-HILA6,Woolly Rose Mallow - 50 Pack,,244.68,8,10
PG-HOVU-25-LB,Barley - 25 lbs,,244.42,6,7
PG-SIJU-N-1-LB,Big Squirreltail - 1 lb,,238.68,2,2
PG-VISA-10-LB,Common Vetch - 10 lbs,,231.1,2,2
W-HEBO-1-LB,Utah Sweetvetch - 1lbs,,230.1,3,3
PG-LASA-10-LB,Chickling Vetch - 10 lbs,,229.35,5,5
PG-LEST-50-LB,Common Lespedeza - 50 lbs,,222.56,1,1
W-LUSP-1-LB,Desert Lupine - 1lbs,,222.25,2,2
PG-BRMA-1-LB,Mountain Brome - 1 lb,,214.71,8,20
W-ASOB-1-LB,Aromatic Aster - 1lbs,,211.32,1,1
W-COHE-1-LB,Chinese Houses - 1lbs,,207.57,5,5
W-ROAR-1-LB,Arkansas Rose - 1lbs,,204.06,1,1
PG-ASCI,Cicer Milkvetch - 10 lbs,,202.5,1,2
W-DISI-1-LB,African Daisy - 1lbs,,202.04,4,4
W-MOCI-0.25-LB,Lemon Mint - 0.25lbs,,201.63,4,4
W-DIBA-1-LB,Sweet William - 1lbs,,198.33,4,4
W-ROAR-0.25-LB,Arkansas Rose - 0.25lbs,,197.45,2,3
W-NEMA-0.5-LB,Five Spot - 0.5lbs,,195.81,4,4
PG-ATLE-10-LB,Quailbush - 10 lbs,,193.17,1,1
W-GYEL-1-LB,Baby’s Breath - 1lbs,,191.0,13,16
W-ZIAU-0.25-LB,Golden Alexander - 0.25lbs,,189.94,5,6
W-DIBA-0.25-LB,Sweet William - 0.25lbs,,189.28,8,8
W-HILA6-N-0.25-LB,Woolly Rose Mallow - 0.25lbs,,189.27,3,3
PG-TRAR-1-LB,Wheat - 1 lb,,186.94,23,59
PG-MEIM-1-LB,Coast Range Melic - 1 lb,,182.84,2,2
W-LAOD-1-LB,Sweet Pea - 1lbs,,182.53,6,6
W-LODI,Fernleaf Biscuitroot - 0.5lbs,,181.86,6,21
WB-BFP-1000-F,Butterfly Pollinator Mix - 1000 ft²,,178.06,6,6
W-TROH-0.25-LB,Ohio Spiderwort - 0.25lbs,,177.81,1,1
W-RUHI-1-LB,Black-Eyed Susan - 1lbs,,176.98,4,4
