old_sku,old_name,old_categories,old_revenue_q1q2,old_customer_count,old_units_sold,new_sku,new_name,new_categories,new_permalink,new_price,new_image,match_score,replacement_notes
TURF-WS-2000-F,TWCA Water-Wise Shade Mix - 2000 ft²,,422.8,5,5,PB-SHADE,Shade Tolerant Food Plot Mix,"All Seed, Food Plot Seed, Pasture Seed, Specialty Seed",https://naturesseed.com/products/pasture-seed/shade-mix-food-plot/,113.99,https://naturesseed.com/wp-content/uploads/2025/10/ShadeMix.png,40,
PB-SWDBG,Southwest Desert Big Game Food Plot Mix - 1 Acre,,420.0,3,3,PB-GAME,Big Game Food Plot &amp; Forage Mix,"All Seed, Food Plot Seed, Northern US Pasture Seeds &amp; Seed Mixes, Southern US Pasture Seeds &amp; Seed Mixes, Transitional Zone Pasture Seeds &amp; Seed Mixes, Pasture Seed",https://naturesseed.com/products/pasture-seed/big-game-food-plot-forage-mix/,29.99,https://naturesseed.com/wp-content/uploads/2025/07/Game-1.webp,70,
PB-SWTBC,Southwest Transitional Beef Cattle Forage Mix - 1 Acre,,415.56,3,4,PB-COW-SO,Warm Season Cattle Pasture Seed Mix,"All Seed, Cattle Pasture Seed, Southern US Pasture Seeds &amp; Seed Mixes, Pasture Seed",https://naturesseed.com/products/pasture-seed/cattle-dairy-cow-pasture-mix-for-warm-season/,39.99,https://naturesseed.com/wp-content/uploads/2025/07/SCOW.webp,100,
PG-CHIN-50-LB,Forage Chicory - 50 lbs,,412.5,1,1,PB-TORT,Tortoise Forage &amp; Habitat Mix,"All Seed, Northern US Pasture Seeds &amp; Seed Mixes, Southern US Pasture Seeds &amp; Seed Mixes, Transitional Zone Pasture Seeds &amp; Seed Mixes, Pasture Seed",https://naturesseed.com/products/pasture-seed/tortoise-forage-mix/,44.99,https://naturesseed.com/wp-content/uploads/2025/07/TURTOISE-1.png,40,
PG-ELJU-10-LB,Russian Wildrye - 10 lbs,,412.49,3,3,PB-DRY,Dryland Pasture Mix,,https://naturesseed.com/products/pasture-seed/dryland-pasture-mix/,50.99,https://naturesseed.com/wp-content/uploads/2025/12/DrylandPAsture.webp,30,
PB-GLBG-1-A,Great Lakes/New England Big Game Food Plot Mix - 1 Acre,,412.35,3,3,PB-GAME,Big Game Food Plot &amp; Forage Mix,"All Seed, Food Plot Seed, Northern US Pasture Seeds &amp; Seed Mixes, Southern US Pasture Seeds &amp; Seed Mixes, Transitional Zone Pasture Seeds &amp; Seed Mixes, Pasture Seed",https://naturesseed.com/products/pasture-seed/big-game-food-plot-forage-mix/,29.99,https://naturesseed.com/wp-content/uploads/2025/07/Game-1.webp,70,
PB-COSS-1-LB-OLD,Coastal Sage Scrub Mix - 1 lbs,,410.96,2,4,PB-COSS,Coastal California Sage Scrub Mix,"All Seed, Native Wildflower Seed &amp; Seed Mixes, California Collection",https://naturesseed.com/products/wildflower-seed/coastal-sage-scrub-mix/,38.82,https://naturesseed.com/wp-content/uploads/2025/09/Coastal-Sage-Scrub-Mix.png,30,
-OLD,Sheep Fescue Grass,,409.92,5,9,S-FEOV,Sheep Fescue Grass Seed,"All Seed, Lawn Seed, Specialty Seed",https://naturesseed.com/products/grass-seed/sheep-fescue-grass/,39.99,https://naturesseed.com/wp-content/uploads/2025/07/Artboard-11-copy-2.png,120,
PG-VIUN-50-LB,Cowpeas - 50 lbs,,408.74,2,2,PB-COW-NTR,Cool Season Cattle Pasture Seed Mix,"Pasture Seed, All Seed, Cattle Pasture Seed, Southern US Pasture Seeds &amp; Seed Mixes",https://naturesseed.com/products/pasture-seed/cattle-dairy-cow-pasture-mix-cold-warm-season/,39.99,https://naturesseed.com/wp-content/uploads/2025/07/NCOW-Main.webp,30,
PB-SWDHB-5000-F,Southwest Desert Honey Bee Pasture Mix - 5000 ft²,,405.87,9,9,PB-SHEP-SO,Warm Season Sheep Pasture Mix,"Sheep Pastures, All Seed, Southern US Pasture Seeds &amp; Seed Mixes, Pasture Seed",https://naturesseed.com/products/pasture-seed/sheep-pasture-forage-mix-warm-season/,69.99,https://naturesseed.com/wp-content/uploads/2025/07/SSHEEP.webp,70,
