Product Item ID,Product Title,Product Type L1,Product Type L2,Total Spend ($),Total Clicks,Total Conversions,Total Conv Value ($),ROAS
pb-satec-0.5-a,South-Atlantic Transitional Erosion Control Blend - Specialty Seed | Nature's Seed,specialty seed,south-atlantic transitional erosion control blend,45.25,37,0.0,0.0,0.0
pb-pnwb-0.5-a,Pacific Northwest Bison Forage Blend - Pasture Seed | Nature's Seed,pasture seed,pacific northwest bison forage blend,45.17,53,0.0,0.24,0.01
pb-satdc-2.5-a,South-Atlantic Transitional Dairy Cow Forage Blend - Pasture Seed | Nature's Seed,pasture seed,south-atlantic transitional dairy cow forage blend,45.13,48,0.0,0.0,0.0
gla_185692,Showy Milkweed,wildflower seeds,wildflower seed by region,45.0,38,0.0,0.0,0.0
gla_355985,Pretty Prairie Shortgrass Mix,specialty seed,specialty seed by region,44.93,10,0.0,0.0,0.0
gla_185934,Grain Sorghum,pasture seed,individual pasture species,44.72,121,0.0,0.0,0.0
gla_183900,Pacific Southwest Sheep Forage Mix,pasture seed,sheep pastures,44.65,31,0.0,0.0,0.0
gla_185506,Intermountain West Poultry Forage Mix,sale,poultry pastures,44.1,29,0.0,0.0,0.0
pb-ssbc-0.5-a,Southern Subtropics Beef Cattle Forage Blend - Pasture Seed | Nature's Seed,pasture seed,southern subtropics beef cattle forage blend,43.91,52,0.0,0.0,0.0
pb-ftbc-0.5-a,Florida Tropics Beef Cattle Forage Blend - Pasture Seed | Nature's Seed,pasture seed,florida tropics beef cattle forage blend,43.74,73,0.0,0.0,0.0
gla_184771,Mid-West/Mid-Atlantic Pollinator Mix,sale,specialty seed by region,43.59,13,0.0,0.0,0.0
gla_185792,Bluebunch Wheatgrass,pasture seed,individual pasture species,43.53,117,0.0,0.0,0.0
gla_186753,Coastal Sage Scrub Mix,specialty seed,,43.39,99,0.0,0.0,0.0
pb-satd-1-a,South-Atlantic Transitional Dryland Pasture Blend - Specialty Seed | Nature's Seed,specialty seed,south-atlantic transitional dryland pasture blend,43.37,28,0.0,0.0,0.0
gla_184690,Indiangrass,pasture seed,individual pasture species,43.19,26,0.0,0.0,0.0
gla_355736,Arrowleaf Clover,pasture seed,individual pasture species,43.16,54,0.0,0.0,0.0
gla_185238,Great Lakes/New England Big Game Food Plot Mix,sale,specialty seed by region,43.11,17,0.0,0.0,0.0
gla_183196,Lewis Blue Flax,wildflower seed,individual wildflower species,43.09,53,0.0,0.0,0.0
gla_355711,Wild Senna,heartland collection,wildflower seed by region,42.68,54,0.0,0.0,0.0
gla_183558,Mid-West/Mid-Atlantic Horse Forage Mix,sale,horse pasture seed,42.57,10,0.0,0.0,0.0
gla_447347,"Native Erosion Control Mix – Soil Stabilization for Arid Regions 20 Lb for 40,000 Sq Ft | Nature's Seed",specialty seeds,restoration seed mix,42.39,34,0.0,0.0,0.0
pb-glbg-0.5-a,Great Lakes/New England Big Game Food Plot Blend - Specialty Seed | Nature's Seed,specialty seed,great lakes/new england big game food plot blend,42.36,56,0.0,0.0,0.0
gla_185401,Am 120 Standard Mycorrhizal Inoculant,planting aids,all planting aids,42.32,24,0.0,0.0,0.0
pb-ssbc-2.5-a,Southern Subtropics Beef Cattle Forage Blend - Pasture Seed | Nature's Seed,pasture seed,southern subtropics beef cattle forage blend,42.31,46,0.0,0.0,0.0
gla_184341,South-Atlantic Transitional Honey Bee Pasture Mix,sale,honey bee blends,42.25,20,0.0,0.0,0.0
gla_182834,Southeast Wildflower Mix,wildflower seeds,wildflower seed by region,42.22,37,0.0,0.0,0.0
gla_185195,Great Plains Big Game Food Plot Mix,sale,specialty seed by region,42.13,48,0.0,0.0,0.0
pb-satd-2.5-a,South-Atlantic Transitional Dryland Pasture Blend - Specialty Seed | Nature's Seed,specialty seed,south-atlantic transitional dryland pasture blend,42.1,30,0.0,0.0,0.0
gla_455529,"Nature's Seed Shade Forage Food Plot Seed Mix 20 lb Bag - Covers 4,000 Sq Ft",food plot,food plot mix wildlife attractor,42.08,48,0.0,0.0,0.0
gla_183816,Pacific Southwest Goat Forage Mix,sale,goat pasture seed,42.0,20,0.0,0.0,0.0
gla_182936,Pacific Southwest Dryland Pasture Mix,specialty seed,dryland pasture blends,41.77,21,0.0,0.0,0.0
gla_186640,Meadow Barley,pasture seed,individual pasture species,41.02,71,0.0,0.0,0.0
gla_183396,Mexican Gold Poppy,wildflower seed,wildflower seed by region,40.84,59,0.0,0.0,0.0
gla_184938,Great Lakes/New England Erosion Control Mix,specialty seed,specialty seed by region,40.69,24,0.0,0.0,0.0
gla_183261,Wild Lupine,wildflower seeds,wildflower seed by region,40.55,30,0.0,0.0,0.0
pg-chin-10-lb,Forage Chicory - Pasture Seed | Nature's Seed,pasture seed,forage chicory,40.48,67,0.0,0.0,0.0
gla_446612,"Perennial Ryegrass 50 Lb – Durable, Quick-Growing Forage Grass for Pastures for 50,000 Sq Ft | Nature's Seed",pasture seeds,single species pasture seeds,40.35,46,0.0,0.0,0.0
pg-muri2-10-lb,Deergrass - Pasture Seed | Nature's Seed,pasture seed,deergrass,40.35,59,0.0,0.0,0.0
gla_445880,"Nature's Seed Lawn Bluegrass & Rye Expertly Curated Seed for Success 25 Lb of Grass Seed for 5,000 Sq Ft | TWCA Certified Ideal for Transitional/",lawn / turf seeds,home lawn/yard grass seed,40.34,30,0.0,0.0,0.0
gla_185290,Oats,specialty seed,annual winter forages,40.28,63,0.0,0.0,0.0
gla_186554,Alkali Barley Seeds: Northern California - 1 Pound Bag,pasture seed,individual pasture species,40.25,46,0.0,0.0,0.0
turf-ss-500-f,Sun & Shade Seed Blend - Grass Seed | Nature's Seed,grass seed,sun & shade seed blend,40.24,76,0.0,0.0,0.0
